x,R,Tg w/CO3,Tg CO3 free,,,,,,Sodium Borate Experimental Values,,,,,
0.158249158,0.188,675.5376956,675.5376956,,,,,,,,,,,
0.158957107,0.189,676.3468517,676.3468517,,,,,,,,,,,
0.159663866,0.19,677.1565836,677.1565836,,,,,,,,,,,
0.160369437,0.191,677.9668921,677.9668921,,,,,,,,,,,
0.161073826,0.192,678.7777778,678.7777778,,,,,,,,,,,
0.161777033,0.193,679.5892412,679.5892412,,,,,,,,,,,
0.162479062,0.194,680.401283,680.401283,,,,,,,,,,,
0.163179916,0.195,681.2139037,681.2139037,,,,,,,,,,,
0.163879599,0.196,682.0271041,682.0271041,,,,,,,,,,,
0.164578112,0.197,682.8408848,682.8408848,,,,,,,,,,,
0.165275459,0.198,683.6552463,683.6552463,,,,,,,,,,,
0.165971643,0.199,684.4701892,684.4701892,,,,,,,,,,,
0.166666667,0.2,685.2857143,685.2857143,,,,,,,,,,,
0.167360533,0.201,686.1018221,686.1018221,,,,,,,,,,,
0.168053245,0.202,686.9185132,686.9185132,,,,,,,,,,,
0.168744805,0.203,687.7357883,687.7357883,,,,,,,,,,,
0.169435216,0.204,688.5536481,688.5536481,,,,,,,,,,,
0.170124481,0.205,689.372093,689.372093,,,,,,,,,,,
0.170812604,0.206,690.1911238,690.1911238,,,,,,,,,,,
0.171499586,0.207,691.0107411,691.0107411,,,,,,,,,,,
0.17218543,0.208,691.8309456,691.8309456,,,,,,,,,,,
0.172870141,0.209,692.6517377,692.6517377,,,,,,,,,,,
0.173553719,0.21,693.4731183,693.4731183,,,,,,,,,,,
0.174236168,0.211,694.2950878,694.2950878,,,,,,,,,,,
0.174917492,0.212,695.1176471,695.1176471,,,,,,,,,,,
0.175597692,0.213,695.9407966,695.9407966,,,,,,,,,,,
0.176276771,0.214,696.764537,696.764537,,,,,,,,,,,
0.176954733,0.215,697.5888689,697.5888689,,,,,,,,,,,
0.177631579,0.216,698.4137931,698.4137931,,,,,,,,,,,
0.178307313,0.217,699.2393101,699.2393101,,,,,,,,,,,
0.178981938,0.218,700.0654206,700.0654206,,,,,,,,,,,
0.179655455,0.219,700.8921251,700.8921251,,,,,,,,,,,
0.180327869,0.22,701.7194245,701.7194245,,,,,,,,,,,
0.180999181,0.221,702.5473192,702.5473192,,,,,,,,,,,
0.181669394,0.222,703.3758099,703.3758099,,,,,,,,,,,
0.182338512,0.223,704.2048974,704.2048974,,,,,,,,,,,
0.183006536,0.224,705.0345821,705.0345821,,,,,,,,,,,
0.183673469,0.225,705.8648649,705.8648649,,,,,,,,,,,
0.184339315,0.226,706.6957462,706.6957462,,,,,,,,,,,
0.185004075,0.227,707.5272268,707.5272268,,,,,,,,,,,
0.185667752,0.228,708.3593074,708.3593074,,,,,,,,,,,
0.18633035,0.229,709.1919885,709.1919885,,,,,,,,,,,
0.18699187,0.23,710.0252708,710.0252708,,,,,,,,,,,
0.187652315,0.231,710.8591549,710.8591549,,,,,,,,,,,
0.188311688,0.232,711.6936416,711.6936416,,,,,,,,,,,
0.188969992,0.233,712.5287315,712.5287315,,,,,,,,,,,
0.189627229,0.234,713.3644252,713.3644252,,,,,,,,,,,
0.190283401,0.235,714.2007233,714.2007233,,,,,,,,,,,
0.190938511,0.236,715.0376266,715.0376266,,,,,,,,,,,
0.191592563,0.237,715.8751357,715.8751357,,,,,,,,,,,
0.192245557,0.238,716.7132513,716.7132513,,,,,,,,,,,
0.192897498,0.239,717.5519739,717.5519739,,,,,,,,,,,
0.193548387,0.24,718.3913043,718.3913043,,,,,,,,,,,
0.194198227,0.241,719.2312432,719.2312432,,,,,,,,,,,
0.194847021,0.242,720.0717912,720.0717912,,,,,,,,,,,
0.195494771,0.243,720.9129489,720.9129489,,,,,,,,,,,
0.196141479,0.244,721.754717,721.754717,,,,,,,,,,,
0.196787149,0.245,722.5970962,722.5970962,,,,,,,,,,,
0.197431782,0.246,723.4400871,723.4400871,,,,,,,,,,,
0.198075381,0.247,724.2836905,724.2836905,,,,,,,,,,,
0.198717949,0.248,725.127907,725.127907,,,,,,,,,,,
0.199359488,0.249,725.9727372,725.9727372,,,,,,,,,,,
0.2,0.25,726.8181818,726.8181818,,,,,,,,,,,
0.200639488,0.251,727.1352236,727.1352236,,,,,,,,,,,
0.201277955,0.252,727.4520349,727.4520349,,,,,,,,,,,
0.201915403,0.253,727.7686161,727.7686161,,,,,,,,,,,
0.202551834,0.254,728.0849673,728.0849673,,,,,,,,,,,
0.203187251,0.255,728.4010889,728.4010889,,,,,,,,,,,
0.203821656,0.256,728.7169811,728.7169811,,,,,,,,,,,
0.204455052,0.257,729.0326442,729.0326442,,,,,,,,,,,
0.20508744,0.258,729.3480783,729.3480783,,,,,,,,,,,
0.205718824,0.259,729.6632838,729.6632838,,,,,,,,,,,
0.206349206,0.26,729.9782609,729.9782609,,,,,,,,,,,
0.206978588,0.261,730.2930098,730.2930098,,,,,,,,,,,
0.207606973,0.262,730.6075308,730.6075308,,,,,,,,,,,
0.208234363,0.263,730.9218241,730.9218241,,,,,,,,,,,
0.208860759,0.264,731.23589,731.23589,,,,,,,,,,,
0.209486166,0.265,731.5497288,731.5497288,,,,,,,,,,,
0.210110585,0.266,731.8633406,731.8633406,,,,,,,,,,,
0.210734017,0.267,732.1767257,732.1767257,,,,,,,,,,,
0.211356467,0.268,732.4898844,732.4898844,,,,,,,,,,,
0.211977935,0.269,732.8028169,732.8028169,,,,,,,,,,,
0.212598425,0.27,733.1155235,733.1155235,,,,,,,,,,,
0.213217939,0.271,733.4280043,733.4280043,,,,,,,,,,,
0.213836478,0.272,733.7402597,733.7402597,,,,,,,,,,,
0.214454046,0.273,734.0522899,734.0522899,,,,,,,,,,,
0.215070644,0.274,734.3640952,734.3640952,,,,,,,,,,,
0.215686275,0.275,734.6756757,734.6756757,,,,,,,,,,,
0.21630094,0.276,734.9870317,734.9870317,,,,,,,,,,,
0.216914644,0.277,735.2981635,735.2981635,,,,,,,,,,,
0.217527387,0.278,735.6090713,735.6090713,,,,,,,,,,,
0.218139171,0.279,735.9197553,735.9197553,,,,,,,,,,,
0.21875,0.28,736.2302158,736.2302158,,,,,,,,,,,
0.219359875,0.281,736.5404531,736.5404531,,,,,,,,,,,
0.219968799,0.282,736.8504673,736.8504673,,,,,,,,,,,
0.220576773,0.283,737.1602587,737.1602587,,,,,,,,,,,
0.221183801,0.284,737.4698276,737.4698276,,,,,,,,,,,
0.221789883,0.285,737.7791741,737.7791741,,,,,,,,,,,
0.222395023,0.286,738.0882986,738.0882986,,,,,,,,,,,
0.222999223,0.287,738.3972013,738.3972013,,,,,,,,,,,
0.223602484,0.288,738.7058824,738.7058824,,,,,,,,,,,
0.22420481,0.289,739.0143421,739.0143421,,,,,,,,,,,
0.224806202,0.29,739.3225806,739.3225806,,,,,,,,,,,
0.225406662,0.291,739.6305984,739.6305984,,,,,,,,,,,
0.226006192,0.292,739.9383954,739.9383954,,,,,,,,,,,
0.226604795,0.293,740.2459721,740.2459721,,,,,,,,,,,
0.227202473,0.294,740.5533286,740.5533286,,,,,,,,,,,
0.227799228,0.295,740.8604651,740.8604651,,,,,,,,,,,
0.228395062,0.296,741.167382,741.167382,,,,,,,,,,,
0.228989977,0.297,741.4740794,741.4740794,,,,,,,,,,,
0.229583975,0.298,741.7805575,741.7805575,,,,,,,,,,,
0.230177059,0.299,742.0868167,742.0868167,,,,,,,,,,,
0.230769231,0.3,742.3928571,742.3928571,,,,,,,,,,,
0.231360492,0.301,742.698679,742.698679,,,,,,,,,,,
0.231950845,0.302,743.0042827,743.0042827,,,,,,,,,,,
0.232540292,0.303,743.3096682,743.3096682,,,,,,,,,,,
0.233128834,0.304,743.6148359,743.6148359,,,,,,,,,,,
0.233716475,0.305,743.9197861,743.9197861,,,,,,,,,,,
0.234303216,0.306,744.2245189,744.2245189,,,,,,,,,,,
0.234889059,0.307,744.5290346,744.5290346,,,,,,,,,,,
0.235474006,0.308,744.8333333,744.8333333,,,,,,,,,,,
0.23605806,0.309,745.1374155,745.1374155,,,,,,,,,,,
0.236641221,0.31,745.4412811,745.4412811,,,,,,,,,,,
0.237223494,0.311,745.7449306,745.7449306,,,,,,,,,,,
0.237804878,0.312,746.0483642,746.0483642,,,,,,,,,,,
0.238385377,0.313,746.3515819,746.3515819,,,,,,,,,,,
0.238964992,0.314,746.6545842,746.6545842,,,,,,,,,,,
0.239543726,0.315,746.9573712,746.9573712,,,,,,,,,,,
0.240121581,0.316,747.2599432,747.2599432,,,,,,,,,,,
0.240698557,0.317,747.5623003,747.5623003,,,,,,,,,,,
0.241274659,0.318,747.8644429,747.8644429,,,,,,,,,,,
0.241849886,0.319,748.1663711,748.1663711,,,,,,,,,,,
0.242424242,0.32,748.4680851,748.4680851,,,,,,,,,,,
0.242997729,0.321,748.7695853,748.7695853,,,,,,,,,,,
0.243570348,0.322,749.0708717,749.0708717,,,,,,,,,,,
0.244142101,0.323,749.3719447,749.3719447,,,,,,,,,,,
0.244712991,0.324,749.6728045,749.6728045,,,,,,,,,,,
0.245283019,0.325,749.9734513,749.9734513,,,,,,,,,,,
0.245852187,0.326,750.2738854,750.2738854,,,,,,,,,,,
0.246420497,0.327,750.5741068,750.5741068,,,,,,,,,,,
