x,R,m,model,,,,,,,,,
0.216914644,0.277,63.5733152,67.39310563,,,,,,,,,
0.217527387,0.278,63.51101065,67.38003668,,,,,,,,,
0.218139171,0.279,63.44832983,67.36681815,,,,,,,,,
0.21875,0.28,63.38527539,67.35345104,,,,,,,,,
0.219359875,0.281,63.32185002,67.33993635,,,,,,,,,
0.219968799,0.282,63.25805641,67.32627509,,,,,,,,,
0.220576773,0.283,63.19389727,67.31246827,,,,,,,,,
0.221183801,0.284,63.1293753,67.29851686,,,,,,,,,
0.221789883,0.285,63.06449324,67.28442188,,,,,,,,,
0.222395023,0.286,62.99925383,67.2701843,,,,,,,,,
0.222999223,0.287,62.93365981,67.25580511,,,,,,,,,
0.223602484,0.288,62.86771395,67.24128528,,,,,,,,,
0.22420481,0.289,62.80141901,67.2266258,,,,,,,,,
0.224806202,0.29,62.73477779,67.21182764,,,,,,,,,
0.225406662,0.291,62.66779307,67.19689177,,,,,,,,,
0.226006192,0.292,62.60046766,67.18181915,,,,,,,,,
0.226604795,0.293,62.53280437,67.16661074,,,,,,,,,
0.227202473,0.294,62.46480603,67.15126751,,,,,,,,,
0.227799228,0.295,62.39647548,67.1357904,,,,,,,,,
0.228395062,0.296,62.32781554,67.12018037,,,,,,,,,
0.228989977,0.297,62.25882909,67.10443836,,,,,,,,,
0.229583975,0.298,62.18951899,67.08856531,,,,,,,,,
0.230177059,0.299,62.1198881,67.07256217,,,,,,,,,
0.230769231,0.3,62.04993932,67.05642986,,,,,,,,,
0.231360492,0.301,61.97967554,67.04016932,,,,,,,,,
0.231950845,0.302,61.90909965,67.02378148,,,,,,,,,
0.232540292,0.303,61.83821457,67.00726725,,,,,,,,,
0.233128834,0.304,61.76702321,66.99062756,,,,,,,,,
0.233716475,0.305,61.69552852,66.97386333,,,,,,,,,
0.234303216,0.306,61.62373341,66.95697546,,,,,,,,,
0.234889059,0.307,61.55164085,66.93996486,,,,,,,,,
0.235474006,0.308,61.47925377,66.92283244,,,,,,,,,
0.23605806,0.309,61.40657515,66.90557909,,,,,,,,,
0.236641221,0.31,61.33360795,66.88820572,,,,,,,,,
0.237223494,0.311,61.26035514,66.87071322,,,,,,,,,
0.237804878,0.312,61.18681973,66.85310247,,,,,,,,,
0.238385377,0.313,61.11300468,66.83537435,,,,,,,,,
0.238964992,0.314,61.03891302,66.81752976,,,,,,,,,
